dealTime,district,address,lat,lon,usage,houseType,unitPrice,pattern,floor,floorSum,state_code
 2018-05, 中正區, 羅斯福路三段,25.0203177,121.5285068, 整層住家, 公寓,1157, 3房0廳1衛,553326886, 4.0,553326886
 2018-05, 中正區, 羅斯福路三段,25.0214419,121.526989, 整層住家, 電梯大樓,1764, 3房2廳2衛,553326889, 12.0,553326889
 2018-05, 中正區, 牯嶺街,25.027446,121.5183256, 整層住家, 透天厝,1185, 3房2廳1衛,553426904, 3.0,553426904
 2018-05, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 電梯大樓,2105, 2房1廳1衛,553426905, 9.0,553426905
 2018-05, 中正區, 重慶南路三段,25.0259477,121.5161987, 整層住家, 公寓,1195, 2房1廳1衛,553426900, 4.0,553426900
 2018-05, 中正區, 臨沂街,25.0389555,121.5294385, 整層住家, 電梯大樓,1878, 2房2廳2衛,553726938, 7.0,553726938
 2018-05, 中正區, 廈門街,25.0244784,121.5174236, 整層住家, 電梯大樓,1266, 2房1廳1衛,553426896, 8.0,553426896
 2018-05, 中正區, 金門街,25.0219609,121.5236038, 整層住家, 電梯大樓,1843, 2房2廳1衛,553326890, 7.0,553326890
 2018-05, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 電梯大樓,2045, 2房1廳1衛,553426905, 9.0,553426905
 2018-04, 中正區, 忠孝東路二段,25.0431137,121.5297488, 整層住家, 公寓,897, 3房2廳2衛,553826948, 4.0,553826948
 2018-04, 中正區, 思源街,25.0134855,121.5302734, 整層住家, 公寓,1100, 2房1廳1衛,553126865, 4.0,553126865
 2018-04, 中正區, 中華路二段,25.0284533,121.5055324, 整層住家, 公寓,782, 2房2廳1衛,553426905, 4.0,553426905
 2018-04, 中正區, 和平西路一段,25.0266197,121.5184934, 整層住家, 電梯大樓,1295, 3房2廳1衛,553426902, 12.0,553426902
 2018-04, 中正區, 仁愛路二段,25.03831700000001,121.529055, 整層住家, 電梯大樓,2022, 3房2廳2衛,553726936, 15.0,553726936
 2018-04, 中正區, 汀州路三段,25.0159111,121.5310422, 整層住家, 公寓,1296, 3房2廳1衛,553226873, 4.0,553226873
 2018-04, 中正區, 西藏路,25.0303187,121.5058242, 整層住家, 公寓,800, 2房1廳1衛,553526910, 4.0,553526910
 2018-04, 中正區, 大埔街,25.0324346,121.5045489, 整層住家, 公寓,700, 3房2廳2衛,553526915, 4.0,553526915
 2018-04, 中正區, 寧波東街,25.0323689,121.5199753, 整層住家, 電梯大樓,1066, 3房2廳2衛,553526919, 12.0,553526919
 2018-04, 中正區, 汀州路一段,25.0293416,121.5082301, 整層住家, 公寓,1031, 3房2廳1衛,553526908, 5.0,553526908
 2018-04, 中正區, 杭州南路一段,25.0395453,121.5255685, 整層住家, 電梯大樓,957, 3房2廳2衛,553726939, 10.0,553726939
 2018-04, 中正區, 大埔街,25.0324346,121.5045489, 整層住家, 公寓,1076, 2房1廳2衛,553526915, 5.0,553526915
 2018-04, 中正區, 泉州街,25.0280872,121.514605, 整層住家, 電梯大樓,950, 3房2廳2衛,553426905, 7.0,553426905
 2018-04, 中正區, 晉江街,25.0236781,121.5237677, 整層住家, 公寓,1558, 2房1廳1衛,553326895, 6.0,553326895
 2018-04, 中正區, 金門街,25.0219609,121.5236038, 整層住家, 公寓,1521, 3房2廳2衛,553326890, 4.0,553326890
 2018-04, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 電梯大樓,1767, 2房2廳1衛,553426905, 9.0,553426905
 2018-04, 中正區, 水源路,25.0191559,121.5234785, 整層住家, 公寓,1000, 2房1廳1衛,553226881, 5.0,553226881
 2018-04, 中正區, 廈門街,25.0244784,121.5174236, 整層住家, 電梯大樓,1111, 3房2廳2衛,553426896, 15.0,553426896
 2018-04, 中正區, 同安街,25.0237943,121.521485, 整層住家, 公寓,1250, 4房2廳2衛,553326895, 4.0,553326895
 2018-04, 中正區, 中華路一段,25.0430239,121.5087195, 整層住家, 電梯大樓,1956, 2房2廳1衛,553826943, 15.0,553826943
 2018-04, 中正區, 汀洲路三段,25.0159111,121.5310422, 整層住家, 電梯大樓,1178, 3房2廳2衛,553226873, 10.0,553226873
 2018-04, 中正區, 牯嶺街,25.027446,121.5183256, 整層住家, 公寓,857, 3房1廳1衛,553426904, 3.0,553426904
 2018-04, 中正區, 汀洲路三段,25.0159111,121.5310422, 整層住家, 公寓,1250, 3房2廳2衛,553226873, 4.0,553226873
 2018-04, 中正區, 杭州南路一段,25.0395453,121.5255685, 整層住家, 電梯大樓,1475, 3房2廳2衛,553726939, 12.0,553726939
 2018-04, 中正區, 羅斯福路一段,25.0319961,121.5188703, 整層住家, 透天厝,1250, 2房1廳1衛,553526917, 2.0,553526917
 2018-04, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 公寓,1250, 2房2廳1衛,553426905, 5.0,553426905
 2018-04, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 電梯大樓,1407, 2房2廳2衛,553426905, 11.0,553426905
 2018-04, 中正區, 金門街,25.0219609,121.5236038, 整層住家, 公寓,642, 3房2廳1衛,553326890, 4.0,553326890
 2018-04, 中正區, 仁愛路二段,25.03831700000001,121.529055, 整層住家, 電梯大樓,2077, 4房2廳5衛,553726936, 14.0,553726936
 2018-04, 中正區, 羅斯福路四段,25.0139736,121.5349967, 整層住家, 電梯大樓,2000, 1房1廳1衛,553126867, 10.0,553126867
 2018-04, 中正區, 和平西路一段,25.0266197,121.5184934, 整層住家, 電梯大樓,1700, 99房0廳0衛,553426902, 14.0,553426902
 2018-04, 中正區, 忠孝東路二段,25.0431137,121.5297488, 整層住家, 公寓,944, 2房1廳1衛,553826948, 4.0,553826948
 2018-04, 中正區, 廈門街,25.0244784,121.5174236, 整層住家, 公寓,923, 3房2廳1衛,553426896, 4.0,553426896
 2018-04, 中正區, 杭州南路一段,25.0395453,121.5255685, 整層住家, 電梯大樓,1724, 2房2廳2衛,553726939, 11.0,553726939
 2018-03, 中正區, 重慶南路三段,25.0259477,121.5161987, 整層住家, 電梯大樓,1142, 2房2廳1衛,553426900, 15.0,553426900
 2018-03, 中正區, 南昌路二段,25.026135,121.5219111, 整層住家, 公寓,1821, 2房1廳1衛,553426902, 4.0,553426902
 2018-03, 中正區, 新生南路一段,25.0390034,121.532767, 整層住家, 公寓,866, 3房2廳2衛,553726939, 5.0,553726939
 2018-03, 中正區, 詔安街,25.0254679,121.5121128, 整層住家, 公寓,1136, 3房1廳2衛,553426897, 5.0,553426897
 2018-03, 中正區, 廈門街,25.0244784,121.5174236, 整層住家, 公寓,1166, 4房1廳1衛,553426896, 4.0,553426896
 2018-03, 中正區, 汀州路三段,25.0159111,121.5310422, 整層住家, 公寓,933, 3房2廳1衛,553226873, 4.0,553226873
 2018-03, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 電梯大樓,2000, 2房2廳1衛,553426905, 12.0,553426905
 2018-03, 中正區, 林森北路,25.0474292,121.5241078, 整層住家, 公寓,1391, 2房1廳2衛,553926957, 6.0,553926957
 2018-03, 中正區, 和平西路二段,25.0304873,121.5094352, 整層住家, 公寓,673, 2房1廳1衛,553526911, 4.0,553526911
 2018-03, 中正區, 南昌路一段,25.0315622,121.5169543, 整層住家, 電梯大樓,1360, 2房1廳1衛,553526916, 15.0,553526916
 2018-03, 中正區, 同安街,25.0237943,121.521485, 整層住家, 公寓,740, 3房2廳2衛,553326895, 4.0,553326895
 2018-03, 中正區, 杭州南路一段,25.0395453,121.5255685, 整層住家, 公寓,1818, 1房1廳1衛,553726939, 6.0,553726939
 2018-03, 中正區, 承德路一段,25.0485549,121.5157681, 整層住家, 公寓,1066, 2房1廳1衛,553926958, 5.0,553926958
 2018-03, 中正區, 新生南路一段,25.0390034,121.532767, 整層住家, 電梯大樓,1419, 2房2廳2衛,553726939, 9.0,553726939
 2018-03, 中正區, 汀州路二段,25.024804,121.5200177, 整層住家, 電梯大樓,1200, 2房1廳1衛,553426897, 11.0,553426897
 2018-03, 中正區, 汀州路二段,25.024804,121.5200177, 整層住家, 公寓,950, 3房2廳2衛,553426897, 5.0,553426897
 2018-03, 中正區, 信義路二段,25.0339771,121.5284899, 整層住家, 公寓,880, 2房1廳1衛,553626925, 4.0,553626925
 2018-03, 中正區, 連雲街,25.0356716,121.5313534, 整層住家, 公寓,1085, 4房0廳2衛,553626930, 4.0,553626930
 2018-03, 中正區, 重慶南路三段,25.0259477,121.5161987, 整層住家, 電梯大樓,1200, 2房2廳1衛,553426900, 7.0,553426900
 2018-03, 中正區, 汀州路一段,25.0293416,121.5082301, 整層住家, 透天厝,568, 2房1廳2衛,553526908, 2.0,553526908
 2018-03, 中正區, 南昌路一段,25.0315622,121.5169543, 整層住家, 電梯大樓,1031, 3房2廳2衛,553526916, 19.0,553526916
 2018-03, 中正區, 惠安街,25.0291994,121.5069646, 整層住家, 電梯大樓,1050, 2房1廳1衛,553526907, 6.0,553526907
 2018-03, 中正區, 師大路,25.0210144,121.5254344, 整層住家, 電梯大樓,1285, 2房1廳1衛,553326887, 14.0,553326887
 2018-03, 中正區, 羅斯福路二段,25.0273813,121.522265, 整層住家, 電梯大樓,2000, 2房1廳1衛,553426905, 14.0,553426905
 2018-03, 中正區, 南昌路二段,25.026135,121.5219111, 整層住家, 電梯大樓,1250, 2房1廳1衛,553426902, 12.0,553426902
 2018-03, 中正區, 牯嶺街,25.027446,121.5183256, 整層住家, 電梯大樓,1666, 1房1廳1衛,553426904, 1.0,553426904
 2018-03, 中正區, 重慶南路三段,25.0259477,121.5161987, 整層住家, 公寓,720, 2房2廳1衛,553426900, 4.0,553426900
 2018-03, 中正區, 中華路一段,25.0430239,121.5087195, 整層住家, 電梯大樓,1956, 2房2廳1衛,553826943, 15.0,553826943
 2018-03, 中正區, 中華路一段,25.0430239,121.5087195, 整層住家, 電梯大樓,1956, 2房2廳1衛,553826943, 15.0,553826943
 2018-03, 中正區, 水源路,25.0191559,121.5234785, 整層住家, 公寓,1125, 1房1廳1衛,553226881, 5.0,553226881
 2018-03, 中正區, 大埔街,25.0324346,121.5045489, 整層住家, 電梯大樓,1346, 3房2廳2衛,553526915, 7.0,553526915
 2018-03, 中正區, 詔安街,25.0254679,121.5121128, 整層住家, 公寓,952, 2房1廳1衛,553426897, 4.0,553426897
 2018-03, 中正區, 南昌路一段,25.0315622,121.5169543, 整層住家, 電梯大樓,962, 4房2廳2衛,553526916, 10.0,553526916
 2018-03, 中正區, 臨沂街,25.0389555,121.5294385, 整層住家, 公寓,1666, 99房0廳0衛,553726938, 5.0,553726938
 2018-03, 中正區, 中華路二段,25.0284533,121.5055324, 整層住家, 透天厝,708, 2房1廳1衛,553426905, 3.0,553426905
 2018-03, 中正區, 南陽街,25.0448776,121.5161052, 整層住家, 公寓,913, 3房1廳1衛,553826949, 4.0,553826949
 2018-03, 中正區, 廈門街,25.0244784,121.5174236, 整層住家, 電梯大樓,967, 2房2廳2衛,553426896, 15.0,553426896
 2018-03, 中正區, 紹安街,25.0254679,121.5121128, 整層住家, 透天厝,500, 3房1廳2衛,553426897, 4.0,553426897
 2018-03, 中正區, 重慶南路三段,25.0259477,121.5161987, 整層住家, 電梯大樓,813, 4房2廳2衛,553426900, 12.0,553426900
 2018-03, 中正區, 金門街,25.0219609,121.5236038, 整層住家, 電梯大樓,1842, 3房1廳2衛,553326890, 7.0,553326890
 2018-03, 中正區, 同安街,25.0237943,121.521485, 整層住家, 公寓,1153, 4房1廳1衛,553326895, 4.0,553326895
 2018-03, 中正區, 承德路一段,25.0485549,121.5157681, 整層住家, 公寓,1000, 2房1廳1衛,553926958, 5.0,553926958
 2018-02, 中正區, 師大路,25.0210144,121.5254344, 整層住家, 電梯大樓,775, 3房2廳2衛,553326887, 13.0,553326887
 2018-02, 中正區, 惠安街,25.0291994,121.5069646, 整層住家, 公寓,1500, 1房1廳1衛,553526907, 5.0,553526907
 2018-02, 中正區, 汀州路,25.024804,121.5200177, 整層住家, 電梯大樓,961, 2房2廳2衛,553426897, 10.0,553426897
 2018-02, 中正區, 濟南路二段,25.0407174,121.5296404, 整層住家, 電梯大樓,1050, 1房1廳1衛,553726942, 7.0,553726942
 2018-02, 中正區, 師大路,25.0210144,121.5254344, 整層住家, 電梯大樓,904, 3房2廳2衛,553326887, 13.0,553326887
 2018-02, 中正區, 南昌路二段,25.026135,121.5219111, 整層住家, 電梯大樓,1333, 3房2廳1衛,553426902, 12.0,553426902
 2018-02, 中正區, 寧波東街,25.0323689,121.5199753, 整層住家, 公寓,535, 2房2廳1衛,553526919, 6.0,553526919
 2018-02, 中正區, 金門街,25.0219609,121.5236038, 整層住家, 電梯大樓,1304, 2房1廳1衛,553326890, 5.0,553326890
 2018-02, 中正區, 汀州路三段,25.0159111,121.5310422, 整層住家, 公寓,1200, 2房1廳1衛,553226873, 4.0,553226873
 2018-02, 中正區, 仁愛路二段,25.03831700000001,121.529055, 整層住家, 電梯大樓,1192, 4房2廳2衛,553726936, 6.0,553726936
 2018-02, 中正區, 羅斯福路三段,25.0203177,121.5285068, 整層住家, 公寓,1134, 3房2廳1衛,553326886, 4.0,553326886
 2018-02, 中正區, 南陽街,25.0448776,121.5161052, 整層住家, 公寓,1000, 2房1廳1衛,553826949, 4.0,553826949
 2018-02, 中正區, 南陽街,25.0448776,121.5161052, 整層住家, 公寓,913, 3房1廳1衛,553826949, 4.0,553826949
 2018-02, 中正區, 汀州路二段,25.024804,121.5200177, 整層住家, 電梯大樓,750, 3房2廳2衛,553426897, 7.0,553426897
 2018-02, 中正區, 詔安街,25.0254679,121.5121128, 整層住家, 公寓,233, 3房2廳1衛,553426897, 5.0,553426897
 2018-02, 中正區, 金山南路一段,25.0386576,121.52850990000002, 整層住家, 公寓,1150, 2房1廳1衛,553726937, 5.0,553726937
 2018-02, 中正區, 延平南路,25.0396925,121.5088915, 整層住家, 電梯大樓,842, 3房2廳2衛,553726935, 7.0,553726935
 2018-02, 中正區, 南陽街,25.0448776,121.5161052, 整層住家, 公寓,913, 3房1廳1衛,553826949, 4.0,553826949
 2018-02, 中正區, 延平南路,25.0396925,121.5088915, 整層住家, 電梯大樓,800, 3房2廳2衛,553726935, 7.0,553726935
 2018-02, 中正區, 水源路,25.0191559,121.5234785, 整層住家, 公寓,2000, 2房1廳1衛,553226881, 4.0,553226881
 2018-02, 中正區, 重慶南路三段,25.0259477,121.5161987, 整層住家, 電梯大樓,1142, 2房2廳1衛,553426900, 15.0,553426900
