district,address,boomTime,lat,lon,state_code
大同區,大龍街85巷,106-1-3,25.066423399999998,121.51658159999998,554326994
大同區,環河北路1段87號,106-1-4,25.053022,121.5075455,554026966
大同區,鄭州路與西寧北路口,106-1-9,25.050385000000002,121.50978640000001,553926961
大同區,南京西路302巷,106-1-14,25.053601,121.513571,554026969
大同區,承德路3段32號,106-1-14,25.064460500000003,121.51806270000002,554226991
大同區,延平北路1段與南京西路口,106-1-6,25.0670589,121.511082,554326994
大同區,長安西路與塔城街口,106-1-13,25.050385000000002,121.50978640000001,553926961
大同區,鄭州路與塔城街口,106-2-8,25.050385000000002,121.50978640000001,553926961
大同區,重慶北路2段227號與重慶北路2段口,106-2-11,25.0616167,121.51376299999998,554226985
大同區,酒泉街與重慶北路3段口,106-2-14,25.0721299,121.51406259999999,554427004
大同區,重慶北路2段與民權西路口,106-1-3,25.0621449,121.51338700000001,554226986
大同區,承德路1段與鄭州路1段口,106-1-3,25.0633359,121.51858200000001,554226989
大同區,延平北路3段69號,106-1-4,25.066313,121.511121,554326993
大同區,環河北路2段18標高速公路下方,106-1-7,24.1752407,120.63048229999998,534615458
大同區,鄭州路131號北門捷運站2號出口,106-1-9,25.049062600000003,121.51021999999999,553926958
大同區,延平北路2段272巷46號,106-1-17,25.062040600000003,121.5097989,554226985
大同區,承德路3段221號,106-1-18,25.070284,121.51873400000001,554427002
大同區,重慶北路2段64巷,106-1-7,25.055707199999997,121.5129341,554126973
大同區,西寧北路與鄭州路口,106-1-9,25.050385000000002,121.50978640000001,553926961
大同區,市民大道1段京站停車場入口前,106-1-12,25.0490476,121.51810990000001,553926960
大同區,承德路3段206號,106-1-13,25.0702942,121.51817120000001,554427002
大同區,南京西路與太原路口,106-1-9,25.053588100000002,121.5160989,554026969
大同區,民生西路與承德路2段口,106-1-4,25.0550237,121.51801809999999,554026973
大同區,延平北路2段與保安街口,106-1-10,25.058906600000004,121.5115635,554126979
大同區,延平北路4段282巷,106-5-19,25.0770513,121.51074640000002,554527011
大同區,民權西路104號,106-3-6,25.062716899999998,121.51743229999998,554226988
大同區,承德路3段與民族西路口,106-4-5,25.068799,121.51346399999998,554326998
大同區,通河西街1段明倫高中後方堤外便道,106-2-16,25.076246100000002,121.5193385,554527011
大同區,鄭州路與塔城街口,106-2-6,25.050385000000002,121.50978640000001,553926961
大同區,鄭州路109號,106-2-10,25.050268399999997,121.5112996,553926961
大同區,承德路3段45號,106-2-13,25.064588,121.5186045,554226992
大同區,民權西路184巷26號與民權西路184巷口,106-2-17,25.0618,121.51446999999999,554226985
大同區,環河北路1段與鄭州路口,106-1-4,25.0596283,121.5085172,554126980
大同區,重慶北路2段與南京西路口,106-1-3,25.054553,121.511596,554026970
