state_code,center,center_lat,center_lon,dist,vil,km_x,km_y,mrt,hsp_and_clc,illegal,night_club,ubike,edu_all_statecode,106_traffic_done
552126696,"(24.967442617613543, 121.565853495877)",24.96744261761355,121.565853495877,文山區,老泉里,2760.7500000000005,13348.250000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552126698,"(24.967442617613543, 121.57496074615294)",24.96744261761355,121.57496074615294,文山區,老泉里,2760.7500000000005,13349.250000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.46176930267059646
552126700,"(24.967442617613543, 121.58406799642889)",24.96744261761355,121.58406799642887,文山區,指南里,2760.7500000000005,13350.250000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.3474464563065797
552126702,"(24.967442617613543, 121.59317524670483)",24.96744261761355,121.59317524670485,文山區,指南里,2760.7500000000005,13351.250000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.15246229041963133
552126703,"(24.967442617613543, 121.5977288718428)",24.96744261761355,121.5977288718428,文山區,指南里,2760.7500000000005,13351.750000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.09751506293901466
552126704,"(24.967442617613543, 121.60228249698078)",24.96744261761355,121.60228249698078,文山區,指南里,2760.7500000000005,13352.250000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003
552126705,"(24.967442617613543, 121.60683612211875)",24.96744261761355,121.60683612211876,文山區,指南里,2760.7500000000005,13352.750000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.24600000000000002
552126706,"(24.967442617613543, 121.61138974725672)",24.96744261761355,121.61138974725672,文山區,指南里,2760.7500000000005,13353.250000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.37537388768473967
552126707,"(24.967442617613543, 121.6159433723947)",24.96744261761355,121.6159433723947,文山區,指南里,2760.7500000000005,13353.750000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.23602683463256177
552226715,"(24.97196447627833, 121.56191647586834)",24.97196447627833,121.56191647586834,文山區,老泉里,2761.25,13357.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
