state_code,center,center_lat,center_lon,dist,vil,mrt,hsp_and_clc,illegal,night_club,ubike,edu_all_statecode,106_traffic_done
552126696,"(24.967442617613543, 121.565853495877)",24.96744261761355,121.565853495877,文山區,老泉里,0.0,0.0,0.0,0.0,0.0,0.0,0.27836874028304887
552126698,"(24.967442617613543, 121.57496074615294)",24.96744261761355,121.57496074615294,文山區,老泉里,0.0,0.0,0.0,0.0,0.0,0.06304937622481187,0.2462072075145194
552126700,"(24.967442617613543, 121.58406799642889)",24.96744261761355,121.58406799642887,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.3349124698080507
552126702,"(24.967442617613543, 121.59317524670483)",24.96744261761355,121.59317524670485,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.4158613172775316
552126703,"(24.967442617613543, 121.5977288718428)",24.96744261761355,121.5977288718428,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.3624481606416428
552126704,"(24.967442617613543, 121.60228249698078)",24.96744261761355,121.60228249698078,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.3487446579157006
552126705,"(24.967442617613543, 121.60683612211875)",24.96744261761355,121.60683612211876,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.2701251984523847
552126706,"(24.967442617613543, 121.61138974725672)",24.96744261761355,121.61138974725672,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552126707,"(24.967442617613543, 121.6159433723947)",24.96744261761355,121.6159433723947,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552226715,"(24.97196447627833, 121.56191647586834)",24.97196447627833,121.56191647586834,文山區,老泉里,0.0,0.0,0.09995722423565707,0.0,0.0,0.5287023753099972,0.20349140788676467
552226718,"(24.97196447627833, 121.57556719359505)",24.97196447627833,121.57556719359505,文山區,老泉里,0.0,0.0,0.03886109122706516,0.0,0.0,0.19717736132762886,0.4497770397111607
552226719,"(24.97196447627833, 121.58011743283728)",24.97196447627833,121.58011743283727,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.390770749164105,0.4804585481113907
552226723,"(24.97196447627833, 121.59831838980621)",24.97196447627833,121.5983183898062,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.3122708964317705
552226725,"(24.97196447627833, 121.60741886829068)",24.97196447627833,121.60741886829071,文山區,指南里,0.0,0.0,0.0,0.0,0.0,0.0,0.17031401035237104
552326733,"(24.976486334943115, 121.55592207594691)",24.976486334943115,121.55592207594692,文山區,老泉里,0.0,0.0,0.1791213257113573,0.0,0.0,0.36957938074383123,0.31071995077087283
552326737,"(24.976486334943115, 121.5741098810717)",24.976486334943115,121.5741098810717,文山區,老泉里,0.0,0.0,0.14852093493857227,0.0,0.0,0.14416062799865273,0.20234809758625283
552326738,"(24.976486334943115, 121.5786568323529)",24.976486334943115,121.5786568323529,文山區,指南里,0.0,0.0,0.22483319196919205,0.0,0.0,0.31212492731250463,0.2547686108077107
552326739,"(24.976486334943115, 121.5832037836341)",24.976486334943115,121.58320378363408,文山區,指南里,0.0,0.0,0.4134216995858549,0.0,0.0,0.44287602307109336,0.26296558339216897
552326740,"(24.976486334943115, 121.5877507349153)",24.976486334943115,121.58775073491528,文山區,指南里,0.0,0.0,0.37927988295454956,0.0,0.0,0.3351217600555838,0.2841151611122042
552326741,"(24.976486334943115, 121.5922976861965)",24.976486334943115,121.5922976861965,文山區,指南里,0.0,0.0,0.28524059918411854,0.0,0.0,0.22929167478826215,0.3551533381031911
552326742,"(24.976486334943115, 121.5968446374777)",24.976486334943115,121.5968446374777,文山區,政大里,0.0,0.0,0.0,0.0,0.0,0.0,0.3554862660211261
552426752,"(24.981008193607902, 121.55696370215156)",24.981008193607906,121.55696370215156,文山區,樟文里,0.0,0.0,0.3067714678500025,0.0,0.0,0.38146099859617344,0.3438936746666963
552426753,"(24.981008193607902, 121.56150746305997)",24.981008193607906,121.56150746305995,文山區,樟腳里,0.0,0.0,0.3839879542922015,0.0,0.0,0.31737394313027967,0.34016451966029104
552426754,"(24.981008193607902, 121.56605122396837)",24.981008193607906,121.56605122396836,文山區,樟腳里,0.0,0.0,0.2922103258238071,0.0,0.0,0.2786584304249105,0.34894140649940886
552426755,"(24.981008193607902, 121.57059498487678)",24.981008193607906,121.5705949848768,文山區,老泉里,0.0,0.0,0.24755514971898882,0.0,0.0,0.25986479531450046,0.2942921267937601
552426756,"(24.981008193607902, 121.57513874578518)",24.981008193607906,121.57513874578518,文山區,指南里,0.0,0.0,0.19997660689727684,0.0,0.0,0.22915245226791683,0.2661528705662965
552426757,"(24.981008193607902, 121.57968250669359)",24.981008193607906,121.57968250669359,文山區,指南里,0.0,0.0,0.28594857836155724,0.0,0.0,0.33955508754981617,0.2925044468554609
552426758,"(24.981008193607902, 121.58422626760199)",24.981008193607906,121.584226267602,文山區,指南里,0.0,0.0,0.4262504374876633,0.0,0.0,0.2824052631719404,0.352768414688715
552426759,"(24.981008193607902, 121.58877002851041)",24.981008193607906,121.5887700285104,文山區,指南里,0.0,0.0,0.4043117854314658,0.0,0.0,0.26501733754767864,0.2948818969783963
552426760,"(24.981008193607902, 121.59331378941881)",24.981008193607906,121.59331378941879,文山區,政大里,0.0,0.0,0.12333265263964971,0.0,0.0,0.1621659795559457,0.2873518894534998
552426761,"(24.981008193607902, 121.59785755032722)",24.981008193607906,121.59785755032722,文山區,政大里,0.0,0.0,0.06657636237461406,0.0,0.0,0.0,0.2541092740327945
