Number,Name,Address,Status,lat,long,cond
17523306,復林工程行,臺北市中山區長安東路1段42號5樓,核准設立,25.048382999999998,121.52707579999999,T
17524332,東昇華福五金行,臺北市萬華區康定路143號,核准設立,25.0386931,121.50196820000001,T
17526198,昌運工程行,臺北市大安區安居街84巷14號,核准設立,25.019765200000002,121.55246090000001,T
17550133,三葉五金行,臺北市大同區重慶北路3段120巷59號1樓,核准設立,25.0672982,121.5118909,T
17738762,俊明五金行,臺北市大同區重慶北路3段257巷2號1樓,核准設立,25.0716637,121.51418059999999,T
17743940,王維水電冷氣工程行,臺北市大同區重慶北路3段152巷12號1樓,核准設立,25.0680246,121.51299879999999,T
17757872,美實固五金水電材料行,臺北市北投區中央北路2段58號1樓,核准設立,25.137261,121.49498200000001,T
17758318,金聲五金行,臺北市大同區重慶北路1段37號1樓,核准設立,25.05187,121.5145515,T
17764212,聯展五金商行,臺北市大安區復興南路2段151巷6之1號1樓,核准設立,25.028295999999997,121.5442832,T
17767983,切貨五金行,臺北市士林區大南路92號1樓,核准設立,25.0895449,121.524358,T
17770988,友信建材五金行,臺北市大安區泰順街44巷1號1樓,核准設立,25.023688,121.5312,T
17774324,建中五金行,臺北市信義區吳興街220巷77號1樓,核准設立,25.026061,121.560749,T
17806043,新涵五金行,臺北市內湖區成功路2段316號,核准設立,25.0673424,121.5904584,T
17818343,貿順工程行,臺北市萬華區萬大路550號2樓,核准設立,25.018407999999997,121.496398,T
18103817,峰源水電行,臺北市士林區德行東路190巷2弄2號1樓,核准設立,25.1083731,121.53106310000001,T
18375373,億隆家庭五金行,臺北市信義區松山路541巷8號,核准設立,25.0376989,121.57851399999998,T
18387357,漢昌鋼鋁工程行,臺北市北投區西安街2段195號1樓,核准設立,25.1198679,121.51023229999998,T
18408521,長春五金行,臺北市大同區太原路97巷1號1樓,核准設立,25.05219,121.516074,T
19526434,加新五金行,臺北市文山區木柵路1段66之8號,核准設立,24.986781,121.54773600000001,T
20578254,武昌水電行,臺北市松山區南京東路5段123巷4弄5號,核准設立,25.0526402,121.56120279999999,T
20754759,大進汽車材料行,臺北市信義區松隆路23號1樓,核准設立,25.044089000000003,121.56751200000001,T
20900177,百泰水電五金材料行,臺北市信義區吳興街549號,核准設立,25.0228433,121.56961609999999,T
20953069,大民水電冷氣行,臺北市信義區文昌街310號1樓,核准設立,25.0320843,121.5576895,T
20964896,來來五金行,臺北市松山區基隆路1段1號,核准設立,25.0500914,121.57001340000001,T
20996840,上順五金行,臺北市信義區永吉路189之2號1樓,核准設立,25.045779,121.5728831,T
21740754,久保家具材料行,臺北市士林區永平街80巷39號1樓,核准設立,25.091529100000002,121.50640200000001,T
21762341,大都會工程行,臺北市萬華區中華路2段150巷15號1樓,核准設立,25.0302975,121.5035338,T
21778152,閤慶水電行,臺北市內湖區江南街65巷49號1樓,核准設立,25.0764536,121.5789183,T
21899424,建榮工程行,臺北市中山區龍江路318巷29號2樓,核准設立,25.064885999999998,121.538896,T
25513695,泓勝工程行,臺北市內湖區成功路4段41巷7弄1號,核准設立,25.0808139,121.59218,T
25524588,大正油漆工程行,臺北市士林區承德路4段6巷91號,核准設立,25.080432899999998,121.518626,T
25532026,久益五金行,臺北市萬華區富民路145巷38號,核准設立,25.01879,121.50098600000001,T
25538540,富裕五金行,臺北市萬華區環河南路1段42號21號攤位,核准設立,25.034101899999996,121.493284,T
25540829,優異安控工程行,臺北市中正區羅斯福路3段100之101號,核准設立,25.021174,121.52721399999999,T
25541192,奉龍聖起裝潢工程行,臺北市中山區(南)中原街91號,核准設立,25.0596635,121.52899920000002,T
