name,shopType,district,status,address,lat,lon,number
美人座時裝社,cloth,中山區,核准設立,遼寧街45巷21號,25.0488282,121.5430125,38474597
艾法飾小鋪,cloth,士林區,核准設立,福華路164巷4號1樓,25.1042554,121.5227037,38474610
創薇服裝行,cloth,信義區,核准設立,永吉路459巷9弄17號,25.046454,121.579197,38491809
淯弼精品服飾店,cloth,大安區,核准設立,金華街156號,25.0297,121.529677,38492552
維娜精品服飾行,cloth,中正區,核准設立,寧波西街41號,25.0310357,121.517929,38494854
蕾貝加服飾店,cloth,中山區,核准設立,北安路595巷18號1樓,25.082114,121.5477568,38495805
時尚圈精品服飾,cloth,中正區,核准設立,和平西路1段64號,25.026351100000007,121.5193129,38496017
映欣精品服飾店,cloth,大安區,核准設立,復興南路1段107巷19之2號,25.0437695,121.5452041,38496781
有想法的小姐禮服店,cloth,大同區,核准設立,涼州街2號3樓之13,25.0607122,121.51419640000002,38497780
易來發精品服飾店,cloth,中山區,核准設立,長春路374號1樓,25.054404,121.542972,38499014
奧麗薇服飾店,cloth,中山區,核准設立,中山北路1段140巷10號1樓,25.0514079,121.5213751,38499160
裝備家企業社,cloth,大同區,核准設立,民族西路81號,25.0687011,121.5178269,38499422
宜禾服飾行,cloth,士林區,核准設立,大南路113號,25.0896305,121.5237512,38499507
亮妍服飾行,cloth,信義區,核准設立,松山路145號,25.046794,121.577997,38499669
著私精品服飾行,cloth,萬華區,核准設立,中華路1段114巷1號,25.044038,121.507758,38499859
好設計文創服飾,cloth,大同區,核准設立,迪化街1段9號,25.05411,121.510285,38500666
參合一服裝工作室,cloth,大安區,核准設立,大安路1段19巷39號2樓,25.0445426,121.548037,38502947
勝發禮服店,cloth,萬華區,核准設立,西寧南路36號2樓之117,25.0452425,121.5064943,38503278
名迪服飾行,cloth,文山區,核准設立,木新路3段133之1號,24.9817674,121.5618209,38504332
曼婷服飾店,cloth,大安區,核准設立,和平東路3段272號,25.021099,121.555764,38504353
艾莉緹織飾品舖,cloth,信義區,核准設立,吳興街279號1樓,25.026572,121.564151,38504543
涵舍精品服飾,cloth,大安區,核准設立,信義路4段265巷23號1樓,25.034363,121.554936,38505249
台北機能服飾店,cloth,文山區,核准設立,木柵路2段65號1樓,24.988858,121.56061,38505748
菲磨服飾商行,cloth,松山區,核准設立,饒河街113號,25.0505358,121.5742223,38506113
