state_code,center_lat,center_lon
554226991,25.062401649574042,121.5343615883828
554126979,25.057879790909254,121.52028684582716
553726955,25.039792356250114,121.5970246403544
554026968,25.05335793224447,121.51319391300592
554126977,25.057879790909254,121.51127850343046
553726944,25.039792356250114,121.54740332852401
554127004,25.057879790909254,121.63289112578585
553826965,25.0443142149149,121.59212514818668
553626939,25.035270497585326,121.57733779313202
553926974,25.048836073579686,121.58520741409801
553826951,25.0443142149149,121.52899671548288
553426912,25.026226780255758,121.56795991309941
553226877,25.017183062926186,121.53234303801874
553426904,25.026226780255758,121.53182266537792
554026970,25.05335793224447,121.52220540373867
552526775,24.985530052272686,121.57865036411147
553826948,25.0443142149149,121.51546919418921
554327020,25.066923508238826,121.62743376929294
553726942,25.039792356250114,121.53838127182759
553726952,25.039792356250114,121.58349155530975
554326999,25.066923508238826,121.53290642490052
554627033,25.080489084233182,121.58842360538479
554226988,25.062401649574042,121.52085351788782
553526919,25.030748638920542,121.54206048971821
554126984,25.057879790909254,121.5428077018189
552626786,24.99005191093747,121.5483402026642
553626940,25.035270497585326,121.58185076990564
553526923,25.030748638920542,121.5601205666869
554026974,25.05335793224447,121.54022838520414
553726950,25.039792356250114,121.57446949861333
554627030,25.080489084233182,121.57493052195808
553226884,25.017183062926186,121.56399502950849
552626784,24.99005191093747,121.53926485947247
555527051,25.121185812216254,121.51143622937339
553826950,25.0443142149149,121.52448754171832
554326996,25.066923508238826,121.51940251855875
554126991,25.057879790909254,121.57433690020733
554026972,25.05335793224447,121.53121689447141
554627031,25.080489084233182,121.57942821643364
554026975,25.05335793224447,121.54473413057052
553926978,25.048836073579686,121.60323706542265
553726940,25.039792356250114,121.52935921513115
553626936,25.035270497585326,121.56379886281114
555027037,25.098576518892326,121.51135076032901
553826956,25.0443142149149,121.55154258430566
553626937,25.035270497585326,121.56831183958477
552826812,24.999095628267042,121.51341206728134
553526916,25.030748638920542,121.52851543199168
553726943,25.039792356250114,121.54289230017581
554126975,25.057879790909254,121.50227016103376
555727049,25.130229529545826,121.49472387219207
553626925,25.035270497585326,121.51415611830124
553926963,25.048836073579686,121.53562587295526
554527023,25.075967225568398,121.57344063518609
553726953,25.039792356250114,121.58800258365797
554026988,25.05335793224447,121.60330882033337
553926973,25.048836073579686,121.58070000126685
554026991,25.05335793224447,121.61682605643247
553726947,25.039792356250114,121.56093641356867
554527025,25.075967225568398,121.58243824398103
553826958,25.0443142149149,121.56056093183479
553926972,25.048836073579686,121.57619258843569
553826945,25.0443142149149,121.50194167289553
554627029,25.080489084233182,121.5704328274825
554627026,25.080489084233182,121.55693974405578
553726948,25.039792356250114,121.56544744191689
554026967,25.05335793224447,121.50868816763955
554126987,25.057879790909254,121.55632021541393
553626938,25.035270497585326,121.57282481635839
554527022,25.075967225568398,121.5689418307886
554026978,25.05335793224447,121.55825136666964
553426906,25.026226780255758,121.5408569773083
554427024,25.071445366903614,121.61043653500109
554226987,25.062401649574042,121.51635082772282
553126862,25.0126612042614,121.52954754970315
554126988,25.057879790909254,121.56082438661228
554527036,25.075967225568398,121.63192509235327
553826955,25.0443142149149,121.5470334105411
552626791,24.99005191093747,121.57102856064354
555427053,25.11666395355147,121.52801273082851
553326899,25.02170492159097,121.5692550177795
553926968,25.048836073579686,121.55816293711106
554427025,25.071445366903614,121.61493654190353
554827031,25.089532801562754,121.52691843003295
553826949,25.0443142149149,121.51997836795375
553826943,25.0443142149149,121.49292332536642
553426913,25.026226780255758,121.5724770690646
552726799,24.99457376960226,121.52962267265384
554126985,25.057879790909254,121.54731187301724
554126982,25.057879790909254,121.5337993594222
555327047,25.112142094886682,121.51113668116334
555227044,25.107620236221898,121.51022122315769
553826953,25.0443142149149,121.538015063012
553626933,25.035270497585326,121.55025993249026
553826954,25.0443142149149,121.54252423677656
554226992,25.062401649574042,121.53886427854778
552826821,24.999095628267042,121.55419978601721
553826957,25.0443142149149,121.55605175807023
554126983,25.057879790909254,121.53830353062055
553726936,25.039792356250114,121.51131510173829
555127044,25.10309837755711,121.525270994972
554126980,25.057879790909254,121.5247910170255
555927050,25.139273246875398,121.5014242527588
554126973,25.057879790909254,121.49326181863707
554326998,25.066923508238826,121.5284051227866
554226994,25.062401649574042,121.54786965887777
553426915,25.026226780255758,121.58151138099498
555727051,25.130229529545826,121.50370701227763
553526913,25.030748638920542,121.51497037426516
554126981,25.057879790909254,121.52929518822386
552826825,24.999095628267042,121.57232766101093
553926964,25.048836073579686,121.54013328578642
554126997,25.057879790909254,121.60136192739742
553526920,25.030748638920542,121.54657550896039
554226979,25.062401649574042,121.4803293064029
553126868,25.0126612042614,121.55669235325078
554026976,25.05335793224447,121.54923987593689
555327051,25.112142094886682,121.52910671708993
553626928,25.035270497585326,121.52769504862212
553926975,25.048836073579686,121.58971482692917
553626934,25.035270497585326,121.55477290926389
554827030,25.089532801562754,121.52242267809798
554327000,25.066923508238826,121.53740772701445
553526908,25.030748638920542,121.49239527805429
554727030,25.08501094289797,121.54742826608256
553826944,25.0443142149149,121.49743249913097
554727024,25.08501094289797,121.52044820394548
553826959,25.0443142149149,121.56507010559935
554026979,25.05335793224447,121.56275711203601
554427017,25.071445366903614,121.578936486684
553426905,25.026226780255758,121.5363398213431
553726935,25.039792356250114,121.50680407339007
553926969,25.048836073579686,121.56267034994222
553426908,25.026226780255758,121.54989128923867
553826946,25.0443142149149,121.50645084666009
552526780,24.985530052272686,121.6013537030527
553426896,25.026226780255758,121.49568541765642
553726937,25.039792356250114,121.51582613008651
554126976,25.057879790909254,121.50677433223211
