,state_code,center,center_lat,center_lon,dist,vil
0,553726955,"(25.039792356250114, 121.5970246403544)",25.039792356250114,121.5970246403544,南港區,新光里
1,554026968,"(25.05335793224447, 121.51319391300592)",25.053357932244467,121.51319391300592,大同區,圓環(天水)
2,553726944,"(25.039792356250114, 121.54740332852401)",25.039792356250114,121.547403328524,大安區,仁愛里
3,554127004,"(25.057879790909254, 121.63289112578585)",25.05787979090925,121.63289112578585,板橋區,新北
4,553826965,"(25.0443142149149, 121.59212514818668)",25.0443142149149,121.59212514818668,南港區,成福里
5,553626939,"(25.035270497585326, 121.57733779313202)",25.03527049758533,121.57733779313202,信義區,國業里
6,553926974,"(25.048836073579686, 121.58520741409801)",25.048836073579693,121.585207414098,南港區,合成里
7,553226877,"(25.017183062926186, 121.53234303801874)",25.017183062926183,121.53234303801874,大安區,國花大樓
8,554026970,"(25.05335793224447, 121.52220540373867)",25.053357932244467,121.5222054037387,中山區,中山分局
9,553826948,"(25.0443142149149, 121.51546919418921)",25.0443142149149,121.51546919418921,中正區,博物館(館前)
10,553726952,"(25.039792356250114, 121.58349155530975)",25.039792356250114,121.58349155530978,信義區,大道路
11,553526919,"(25.030748638920542, 121.54206048971821)",25.030748638920546,121.54206048971821,大安區,龍圖里
12,552626786,"(24.99005191093747, 121.5483402026642)",24.990051910937467,121.5483402026642,文山區,華興里
13,553526923,"(25.030748638920542, 121.5601205666869)",25.030748638920546,121.56012056668689,信義區,景聯里
14,554026974,"(25.05335793224447, 121.54022838520414)",25.053357932244467,121.54022838520414,中山區,復華里
15,553226884,"(25.017183062926186, 121.56399502950849)",25.017183062926183,121.56399502950848,信義區,黎安里
16,552626784,"(24.99005191093747, 121.53926485947247)",24.990051910937467,121.53926485947248,文山區,景美里
17,555527051,"(25.121185812216254, 121.51143622937339)",25.121185812216247,121.5114362293734,北投區,東華里
18,553826950,"(25.0443142149149, 121.52448754171832)",25.0443142149149,121.52448754171832,中正區,幸福里
19,554326996,"(25.066923508238826, 121.51940251855875)",25.066923508238826,121.51940251855876,大同區,斯文里
20,554026975,"(25.05335793224447, 121.54473413057052)",25.053357932244467,121.5447341305705,松山區,捷運南京復興站
21,553926978,"(25.048836073579686, 121.60323706542265)",25.048836073579693,121.60323706542265,南港區,中南里
22,553726940,"(25.039792356250114, 121.52935921513115)",25.039792356250114,121.52935921513115,中正區,金山泰安街口
23,553826956,"(25.0443142149149, 121.55154258430566)",25.0443142149149,121.55154258430565,大安區,建安里
24,553626937,"(25.035270497585326, 121.56831183958477)",25.03527049758533,121.56831183958477,信義區,松壽路口
25,553526916,"(25.030748638920542, 121.52851543199168)",25.030748638920546,121.52851543199169,大安區,永康里
26,553726943,"(25.039792356250114, 121.54289230017581)",25.039792356250114,121.5428923001758,大安區,懷生國中
27,554126975,"(25.057879790909254, 121.50227016103376)",25.05787979090925,121.50227016103376,三重區,福利里
28,555727049,"(25.130229529545826, 121.49472387219207)",25.130229529545822,121.49472387219208,北投區,大同里
29,553626925,"(25.035270497585326, 121.51415611830124)",25.03527049758533,121.51415611830124,中正區,臺北市立教育大學
30,553926963,"(25.048836073579686, 121.53562587295526)",25.048836073579693,121.53562587295526,中山區,中山女高
31,554527023,"(25.075967225568398, 121.57344063518609)",25.075967225568398,121.57344063518607,內湖區,港墘里
32,553926973,"(25.048836073579686, 121.58070000126685)",25.048836073579693,121.58070000126685,南港區,合成里
33,554026991,"(25.05335793224447, 121.61682605643247)",25.053357932244467,121.61682605643247,南港區,新富里
34,554126984,"(25.057879790909254, 121.5428077018189)",25.05787979090925,121.5428077018189,中山區,臺北大學(臺北校區)
35,553726947,"(25.039792356250114, 121.56093641356867)",25.039792356250114,121.56093641356868,信義區,興隆里
36,553826958,"(25.0443142149149, 121.56056093183479)",25.0443142149149,121.5605609318348,信義區,Taiwan Design Museum
37,553926972,"(25.048836073579686, 121.57619258843569)",25.048836073579693,121.57619258843569,信義區,四育里
38,553826945,"(25.0443142149149, 121.50194167289553)",25.0443142149149,121.50194167289551,萬華區,菜園里
39,554627029,"(25.080489084233182, 121.5704328274825)",25.080489084233182,121.57043282748249,內湖區,港墘里
40,553826951,"(25.0443142149149, 121.52899671548288)",25.0443142149149,121.52899671548289,中正區,華山1914文化創意產業園區
41,554627026,"(25.080489084233182, 121.55693974405578)",25.080489084233182,121.55693974405578,中山區,金泰里
42,553726948,"(25.039792356250114, 121.56544744191689)",25.039792356250114,121.56544744191686,信義區,市府轉運站
43,554026967,"(25.05335793224447, 121.50868816763955)",25.053357932244467,121.50868816763956,大同區,玉泉里
44,553626938,"(25.035270497585326, 121.57282481635839)",25.03527049758533,121.57282481635842,信義區,安康里
45,554527022,"(25.075967225568398, 121.5689418307886)",25.075967225568398,121.56894183078859,中山區,金泰里
46,554026978,"(25.05335793224447, 121.55825136666964)",25.053357932244467,121.55825136666964,松山區,三軍總醫院松山分院
47,553426906,"(25.026226780255758, 121.5408569773083)",25.02622678025576,121.5408569773083,大安區,國北教大實小
48,554427024,"(25.071445366903614, 121.61043653500109)",25.07144536690361,121.61043653500109,內湖區,明湖里
49,554226987,"(25.062401649574042, 121.51635082772282)",25.062401649574042,121.51635082772282,大同區,民權里
50,553126862,"(25.0126612042614, 121.52954754970315)",25.0126612042614,121.52954754970315,中正區,水源里
51,554126988,"(25.057879790909254, 121.56082438661228)",25.05787979090925,121.56082438661228,松山區,民生社區活動中心
52,554527036,"(25.075967225568398, 121.63192509235327)",25.075967225568398,121.63192509235328,汐止區,湖蓮里
