name,shopType,district,status,address,lat,lon,number,state_code
威盛鐵門窗工程行,hardware,士林區,核准設立,通河西街2段145號3樓,25.0931313,121.5054534,15640412,554927030
翰興五金商行,hardware,北投區,核准設立,中央南路1段19號,25.132716199999997,121.50151670000001,15645916,555827051
全盛五金行,hardware,萬華區,核准設立,西園路2段261巷46弄4號3樓,25.024035,121.49342800000001,15652227,553426889
大盛五金電動工具行,hardware,松山區,核准設立,八德路4段294號1樓,25.0489872,121.5670712,15653443,553926970
金原五金行,hardware,萬華區,核准設立,西藏路261之2號1樓,25.0284698,121.493769,15946650,553426902
奇美五金行,hardware,萬華區,核准設立,貴陽街2段1之5號1樓,25.039424,121.5067507,15949050,553726934
鑫鎂設計室內裝修工程行,hardware,信義區,核准設立,基隆路1段143號6樓之7,25.042894600000004,121.56575819999999,17084974,553826956
興曄工程行,hardware,信義區,核准設立,吳興街583巷159號1樓,25.019946,121.571063,17090639,553326894
輝耀空調水電工程行,hardware,萬華區,核准設立,永福街69號5樓,25.0387036,121.5032487,17256949,553726931
欣鼎祥五金行,hardware,萬華區,核准設立,環河南路1段80號1樓,25.0471598,121.50422890000002,17521216,553926952
復林工程行,hardware,中山區,核准設立,長安東路1段42號5樓,25.048382999999998,121.52707579999999,17523306,553926960
東昇華福五金行,hardware,萬華區,核准設立,康定路143號,25.0386931,121.50196820000001,17524332,553726931
昌運工程行,hardware,大安區,核准設立,安居街84巷14號,25.019765200000002,121.55246090000001,17526198,553326889
三葉五金行,hardware,大同區,核准設立,重慶北路3段120巷59號1樓,25.0672982,121.5118909,17550133,554326995
俊明五金行,hardware,大同區,核准設立,重慶北路3段257巷2號1樓,25.0716637,121.51418059999999,17738762,554427003
王維水電冷氣工程行,hardware,大同區,核准設立,重慶北路3段152巷12號1樓,25.0680246,121.51299879999999,17743940,554326997
美實固五金水電材料行,hardware,北投區,核准設立,中央北路2段58號1樓,25.137261,121.49498200000001,17757872,555927049
金聲五金行,hardware,大同區,核准設立,重慶北路1段37號1樓,25.05187,121.5145515,17758318,554026965
聯展五金商行,hardware,大安區,核准設立,復興南路2段151巷6之1號1樓,25.028295999999997,121.5442832,17764212,553426913
切貨五金行,hardware,士林區,核准設立,大南路92號1樓,25.0895449,121.524358,17767983,554827030
友信建材五金行,hardware,大安區,核准設立,泰順街44巷1號1樓,25.023688,121.5312,17770988,553326896
