companyName,storeNumber,storeName,address,lat,lon,state_code
全家便利商店,28425582,港福分公司,南港區仁福里福德街373巷63號,25.0394779,121.592215,553726953
全家便利商店,51412602,台北市第五九四分公司,大安區全安里安和路2段169號及171巷3號,25.0281759,121.5500906,553426914
全家便利商店,80346808,大道分公司,信義區大道里大道路79號1樓,25.040767,121.582571,553726954
萊爾富國際,53665624,第四0九六分公司,中正區梅花里忠孝東路1段35號1樓,25.0444909,121.5255533,553826951
萊爾富國際,53667897,第四0九七分公司,內湖區內湖里金龍路64號、66號1樓,25.0848285,121.59287759999998,554727040
統一超商,16432911,台北巿第３６１分公司,大安區建國南路一段２７４號１樓,25.0364085,121.5373045,553626933
統一超商,16846601,台北市第四二四分公司,內湖區康寧路3段99巷14號1樓、康寧路3段99巷12弄2號1樓,25.0726997,121.6106675,554427026
統一超商,28435189,台北市第五九一分公司,北投區溫泉路70號1樓,25.135148,121.5049037,555827051
全家便利商店,24790497,台北市第五四二分公司,松山區南京東路5段291巷14號、16號,25.0523087,121.5661044,554026977
全家便利商店,27252485,新瑞分公司,內湖區西康里堤頂大道2段407巷26號1樓,25.081055,121.563427,554627028
全家便利商店,70750286,錦西分公司,中山區錦西街8號1樓,25.0602478,121.52175049999998,554226984
全家便利商店,84307476,雙城分公司,中山區雙城街12之1號1樓,25.0678245,121.5252342,554326999
萊爾富國際,80680036,北市同達分公司,大同區延平北路二段一一四、一一六、一一八號及民生西路三三五號一樓,25.0569879,121.5155683,554126976
統一超商,22656115,台北市第八十四分公司,龍江路２４４號１樓,25.0589714,121.5405155,554126986
統一超商,23218058,台北巿第１３６分公司,古亭區汀州路一段１２７、１２９號１樓,25.027059,121.5111514,553426902
統一超商,28982405,台北市第六八六分公司,中正區思源街16號1樓,25.0142587,121.5312817,553126868
統一超商,70811039,台北市第四０三分公司,中山區長春路一三五、一三五之一號一樓,25.0543127,121.5423637,554026977
來來超商,97164979,第２５５分公司,內湖區內湖路３段９１號１樓,25.086289,121.591106,554727041
全家便利商店,28423156,館中分公司,中正區文盛里羅斯福路3段316巷8弄1號1樓,25.0157915,121.5326324,553226873
全家便利商店,53675046,新成鑫分公司,南港區玉成街176巷1號,25.0443493,121.5843134,553826963
萊爾富國際,70761262,北市中山第三分公司,中山區中山北路二段六十五巷十三號一樓,25.0571417,121.5240264,554126978
統一超商,22656163,台北市第八十九分公司,中山區合江街58巷1號1樓：60、60-1號1樓,25.056979100000003,121.53895990000002,554126981
統一超商,27258410,台北市第五八八分公司,內湖區內湖路1段737巷35號1樓,25.0797449,121.5787341,554627030
統一超商,28998125,台北市第七○二分公司,萬華區漢中街185、187號1樓,25.041138,121.506842,553726938
統一超商,43141803,台北市第八六四分公司,大安區金華街140號1樓,25.029821,121.528376,553526913
全家便利商店,24796464,台北市第五五０分公司,士林區天福里忠誠路2段168號1樓,25.1156536,121.5331645,555427054
全家便利商店,28981258,重慶分公司,中正區重慶南路1段58號1樓,25.0368563,121.5117785,553626929
全家便利商店,51081188,台北市第五七八分公司,松山區吉祥里南京東路5段180號、182號,25.0512705,121.5635106,554026975
全家便利商店,53019197,新東湖分公司,內湖區東湖路43巷4號,25.0691678,121.614207,554327021
統一超商,16082175,台北巿第２３３分公司,東新街八十巷１號１樓、１０８巷２弄三十號１樓,25.0329694,121.5654177,553526930
統一超商,53653253,台北市第八二七分公司,內湖區民權東路6段180巷17、19號1樓,25.0682619,121.5928917,554327015
統一超商,70804847,台北市第四八九分公司,內湖區瑞光路一九六號一樓,25.0747204,121.5770018,554527022
全家便利商店,16439908,永孝分公司,信義區松信路145號1樓,25.043543,121.572162,553826959
全家便利商店,28413235,明興分公司,文山區明興里木柵路2段109巷25弄2號、2之1號1樓,24.990145,121.562851,552626790
全家便利商店,28417801,常興分公司,松山區民福里五常街364號1樓,25.0642879,121.5448999,554226997
全家便利商店,70770924,水源分公司,中正區水源里汀州路3段261號1樓,25.0128419,121.5352303,553126864
萊爾富國際,84126073,社正分公司,士林區社正路２７號１樓,25.0887358,121.5091529,554827026
統一超商,16432927,台北巿第三六二分公司,中正區永昌里21鄰中華路2段405、407號1樓,25.0260162,121.5082727,553426898
統一超商,22555469,台北市第十九分公司,信義區臺北市永吉路32、34號1樓,25.0454044,121.5689813,553826962
統一超商,53677733,台北市第七三五分公司,中山區林森北路107巷15號1樓,25.0503204,121.5256788,553926964
來來超商,96974613,第二二五分公司,中山區北安路４７６號１樓,25.079609,121.545121,554627022
全家便利商店,54398962,台北市第五三九分公司,中山區民生東路1段39號,25.0582094,121.5259272,554126981
萊爾富國際,53014622,第三九三四分公司,中正區建國里寶慶路35號1樓,25.0415502,121.5103426,553726940
萊爾富國際,70807295,北市指南分公司,文山區萬興里指南路二段三十二號一樓,24.9877685,121.5747344,552526783
萊爾富國際,86516408,木新第二分公司,文山區木新路三段２３２巷６弄１８號１樓,24.9819405,121.5597153,552426756
統一超商,16749586,台北市第３６分公司,中正區杭州南路一段八十三號一樓,25.039056100000003,121.5255205,553726937
統一超商,22656023,臺北市第７５分公司,長安東路二段８１號１樓,25.0485709,121.5345357,553926962
統一超商,28432599,台北市第六十一分公司,大安區安和路1段47號1樓,25.038625,121.550994,553726942
統一超商,53651868,台北市第八二三分公司,大安區敦化南路2段265巷6號1樓,25.0253682,121.5495567,553426905
來來超商,23932053,第一０六分公司,信義區中坡南路１５８號１樓,25.0398138,121.5843242,553726952
全家便利商店,51324734,台北市第五九O分公司,信義區六合里松仁路240巷2號及238號1樓,25.0243196,121.5688375,553426907
萊爾富國際,28996702,第三七九五分公司,信義區景新里莊敬路290號1樓,25.028519,121.563021,553526917
萊爾富國際,96934520,社子分公司,士林區社子街６３巷２號１樓,25.087589,121.5068955,554827024
統一超商,22555849,台北市第五十七分公司,中山區農安街28-2號1樓,25.0658166,121.5296851,554326996
統一超商,23827539,台北巿第１９３分公司,文山區復興南路二段82-1、82-2號1樓,25.0309643,121.5433064,553526920
統一超商,27950828,台北市第六二八分公司,信義區松德路200巷10號,25.0348367,121.573658,553626937
統一超商,53660753,台北市第八五三分公司,大同區承德路三段55、57號1樓,25.0652109,121.5185663,554326993
統一超商,86123234,臺北巿第２０７分公司,中山區林森北路572號1樓,25.0649958,121.5255349,554326994
