typeofcase,date,time,location,area,address,lat,lon,state_code
住宅竊盜,1070402,02~04,西寧南路1~30號,萬華區,萬華區西寧南路1號,25.039827499999998,121.5060435,553726935
住宅竊盜,1070402,18~20,天福里天母東路8巷91~120號,士林區,士林區天福里天母東路8巷91號,25.114497,121.5304305,555427053
住宅竊盜,1070403,10~12,研究院路3段161巷1~30號,南港區,南港區研究院路3段161巷1號,25.031622600000002,121.6143416,553526937
住宅竊盜,1070404,02~04,水源街2段177巷61~90號,淡水鎮,淡水鎮水源街2段177巷61號,25.177058300000002,121.4524301,556727013
住宅竊盜,1070405,10~12,東園街66巷7弄1~30號,萬華區,萬華區東園街66巷7弄1號,25.0260156,121.4960625,553426895
住宅竊盜,1070409,10~12,新生北路2段133巷1~30號,中山區,中山區新生北路2段133巷1號,25.060947199999998,121.5280138,554226987
住宅竊盜,1070409,10~12,後港里24鄰通河東街2段1~30號,士林區,士林區後港里24鄰通河東街2段1號,25.090819,121.5152513,554827030
住宅竊盜,1070412,14~16,安康里信義路6段15巷18弄1~30號,信義區,信義區安康里信義路6段15巷18弄1號,25.0335606,121.57486599999999,553626934
住宅竊盜,1070415,20~22,一德里中央北路4段121~150號,北投區,北投區一德里中央北路4段121號,25.1319677,121.4741402,555727044
住宅竊盜,1070416,12~14,榮華里明德路150巷31~60號,北投區,北投區榮華里明德路150巷31號,25.109817800000002,121.52218899999998,555227048
住宅竊盜,1070416,12~14,敦厚里基隆路1段121~150號,信義區,信義區敦厚里基隆路1段121號,25.0452457,121.5671409,553826962
住宅竊盜,1070416,16~18,榮華里明德路136巷1~30號,北投區,北投區榮華里明德路136巷1號,25.110193399999996,121.5208078,555327048
住宅竊盜,1070420,10~12,明義里005鄰木柵路2段168巷1~30號,文山區,文山區明義里005鄰木柵路2段168巷1號,24.9887741,121.5623111,552626784
住宅竊盜,1070423,10~12,太原路11巷1~30號,大同區,大同區太原路11巷1號,25.049729100000004,121.5153646,553926961
住宅竊盜,1070424,10~12,萬年里公館街61巷1~30號,文山區,文山區萬年里公館街61巷1號,25.0051263,121.5374091,552926839
住宅竊盜,1070424,16~18,尊賢里尊賢街218巷1~30號,北投區,北投區尊賢里尊賢街218巷1號,25.115685,121.50801899999999,555427048
住宅竊盜,1070424,16~18,合成里20鄰市民大路7段211~240號,南港區,南港區合成里20鄰市民大路7段211號,25.0480747,121.58195090000001,553926972
住宅竊盜,1070425,18~20,研究院路2段12巷14弄1~30號,南港區,南港區研究院路2段12巷14弄1號,25.047588600000005,121.61499109999998,553926978
住宅竊盜,1070426,04~06,民炤里新生南路1段165巷1~30號,大安區,大安區民炤里新生南路1段165巷1號,25.0342122,121.5328534,553626926
住宅竊盜,1070426,10~12,梅花里忠孝東路2段39巷2弄1~30號,中正區,中正區梅花里忠孝東路2段39巷2弄1號,25.044287,121.52807800000001,553826951
住宅竊盜,1070428,08~10,六合里信義路5段150巷400弄1~30號,信義區,信義區六合里信義路5段150巷400弄1號,25.033259100000002,121.562324,553626930
住宅竊盜,1070430,10~12,研究院路2段70巷31~60號,南港區,南港區研究院路2段70巷31號,25.045709,121.61413770000001,553826973
