state_code,center,center_lat,center_lon,dist,vil
553426908,"(25.026226780255758, 121.54989128923867)",25.026226780255758,121.54989128923867,大安區,全安里
554427004,"(25.071445366903614, 121.52043639695228)",25.071445366903614,121.52043639695228,中山區,圓山里
552626786,"(24.99005191093747, 121.5483402026642)",24.99005191093747,121.5483402026642,文山區,華興里
553426905,"(25.026226780255758, 121.5363398213431)",25.026226780255758,121.5363398213431,大安區,龍門里
554226988,"(25.062401649574042, 121.52085351788782)",25.062401649574042,121.52085351788782,中山區,集英里
554427002,"(25.071445366903614, 121.5114363831474)",25.071445366903614,121.5114363831474,大同區,鄰江里
555327047,"(25.112142094886682, 121.51113668116334)",25.112142094886682,121.51113668116334,北投區,福興里
553726941,"(25.039792356250114, 121.53387024347937)",25.039792356250114,121.53387024347937,大安區,民輝里
553626927,"(25.035270497585326, 121.5231820718485)",25.035270497585326,121.5231820718485,中正區,東門里
553626933,"(25.035270497585326, 121.55025993249026)",25.035270497585326,121.55025993249026,大安區,敦安里
553526913,"(25.030748638920542, 121.51497037426516)",25.030748638920542,121.51497037426516,中正區,龍福里
555127043,"(25.10309837755711, 121.5207774650123)",25.10309837755711,121.5207774650123,士林區,德華里
552926836,"(25.00361748693183, 121.5495261583052)",25.00361748693183,121.5495261583052,文山區,興旺里
554427003,"(25.071445366903614, 121.51593639004983)",25.071445366903614,121.51593639004983,大同區,至聖里
553326895,"(25.02170492159097, 121.55117746912353)",25.02170492159097,121.55117746912353,大安區,芳和里
553826956,"(25.0443142149149, 121.55154258430566)",25.0443142149149,121.55154258430566,大安區,建安里
555927048,"(25.139273246875398, 121.4924409493631)",25.139273246875398,121.4924409493631,北投區,文化里
553526931,"(25.030748638920542, 121.59624072062431)",25.030748638920542,121.59624072062431,南港區,九如里
554126976,"(25.057879790909254, 121.50677433223211)",25.057879790909254,121.50677433223211,大同區,大有里
554627031,"(25.080489084233182, 121.57942821643364)",25.080489084233182,121.57942821643364,內湖區,港富里
555727051,"(25.130229529545826, 121.50370701227763)",25.130229529545826,121.50370701227763,北投區,清江里
552726802,"(24.99457376960226, 121.54322698870519)",24.99457376960226,121.54322698870519,文山區,景華里
553326901,"(25.02170492159097, 121.57829379210749)",25.02170492159097,121.57829379210749,信義區,六合里
553826953,"(25.0443142149149, 121.538015063012)",25.0443142149149,121.538015063012,大安區,昌隆里
554327000,"(25.066923508238826, 121.53740772701445)",25.066923508238826,121.53740772701445,中山區,行孝里
552826822,"(24.999095628267042, 121.55873175476565)",24.999095628267042,121.55873175476565,文山區,興光里
553826960,"(25.0443142149149, 121.5695792793639)",25.0443142149149,121.5695792793639,信義區,敦厚里
553826957,"(25.0443142149149, 121.55605175807023)",25.0443142149149,121.55605175807023,大安區,華聲里
553326891,"(25.02170492159097, 121.53309992046756)",25.02170492159097,121.53309992046756,大安區,大學里
552526779,"(24.985530052272686, 121.59681303526445)",24.985530052272686,121.59681303526445,文山區,政大里
553826948,"(25.0443142149149, 121.51546919418921)",25.0443142149149,121.51546919418921,中正區,黎明里
552726809,"(24.99457376960226, 121.574970392825)",24.99457376960226,121.574970392825,文山區,萬興里
552726801,"(24.99457376960226, 121.53869221668808)",24.99457376960226,121.53869221668808,文山區,景慶里
553426912,"(25.026226780255758, 121.56795991309941)",25.026226780255758,121.56795991309941,信義區,三張里
553626925,"(25.035270497585326, 121.51415611830124)",25.035270497585326,121.51415611830124,中正區,建國里
552826816,"(24.999095628267042, 121.53153994227506)",24.999095628267042,121.53153994227506,永和區,民樂里
553126863,"(25.0126612042614, 121.53407168362776)",25.0126612042614,121.53407168362776,中正區,水源里
553826965,"(25.0443142149149, 121.59212514818668)",25.0443142149149,121.59212514818668,南港區,成福里
553826958,"(25.0443142149149, 121.56056093183479)",25.0443142149149,121.56056093183479,信義區,新仁里
554026979,"(25.05335793224447, 121.56275711203601)",25.05335793224447,121.56275711203601,松山區,東光里
553526922,"(25.030748638920542, 121.55560554744473)",25.030748638920542,121.55560554744473,大安區,通化里
553626926,"(25.035270497585326, 121.51866909507487)",25.035270497585326,121.51866909507487,中正區,東門里
553626943,"(25.035270497585326, 121.59538970022653)",25.035270497585326,121.59538970022653,南港區,仁福里
553326900,"(25.02170492159097, 121.57377440494349)",25.02170492159097,121.57377440494349,信義區,六合里
553526916,"(25.030748638920542, 121.52851543199168)",25.030748638920542,121.52851543199168,大安區,永康里
553726940,"(25.039792356250114, 121.52935921513115)",25.039792356250114,121.52935921513115,中正區,文北里
553726939,"(25.039792356250114, 121.52484818678293)",25.039792356250114,121.52484818678293,中正區,東門里
553626924,"(25.035270497585326, 121.5096431415276)",25.035270497585326,121.5096431415276,中正區,南門里
553726942,"(25.039792356250114, 121.53838127182759)",25.039792356250114,121.53838127182759,大安區,義村里
554026987,"(25.05335793224447, 121.598803074967)",25.05335793224447,121.598803074967,南港區,東明里
552626792,"(24.99005191093747, 121.5755662322394)",24.99005191093747,121.5755662322394,文山區,萬興里
554927036,"(25.094054660227542, 121.52688070981446)",25.094054660227542,121.52688070981446,士林區,福林里
554126981,"(25.057879790909254, 121.52929518822386)",25.057879790909254,121.52929518822386,中山區,中原里
553826959,"(25.0443142149149, 121.56507010559935)",25.0443142149149,121.56507010559935,信義區,新仁里
553526927,"(25.030748638920542, 121.5781806436556)",25.030748638920542,121.5781806436556,信義區,松隆里
555227047,"(25.107620236221898, 121.52370014359138)",25.107620236221898,121.52370014359138,士林區,蘭興里
552626790,"(24.99005191093747, 121.56649088904767)",24.99005191093747,121.56649088904767,文山區,木柵里
554327009,"(25.066923508238826, 121.57791944603977)",25.066923508238826,121.57791944603977,內湖區,湖元里
553626920,"(25.035270497585326, 121.4915912344331)",25.035270497585326,121.4915912344331,萬華區,華江里
553326896,"(25.02170492159097, 121.55569685628753)",25.02170492159097,121.55569685628753,信義區,黎平里
554026988,"(25.05335793224447, 121.60330882033337)",25.05335793224447,121.60330882033337,南港區,東明里
554727023,"(25.08501094289797, 121.51595152692262)",25.08501094289797,121.51595152692262,士林區,百齡里
555127044,"(25.10309837755711, 121.525270994972)",25.10309837755711,121.525270994972,士林區,德行里
554627022,"(25.080489084233182, 121.5389489661535)",25.080489084233182,121.5389489661535,中山區,劍潭里
553226889,"(25.017183062926186, 121.58660359485833)",25.017183062926186,121.58660359485833,南港區,九如里
554026989,"(25.05335793224447, 121.60781456569973)",25.05335793224447,121.60781456569973,南港區,南港里
553326887,"(25.02170492159097, 121.51502237181161)",25.02170492159097,121.51502237181161,永和區,網溪里
554226995,"(25.062401649574042, 121.55237234904276)",25.062401649574042,121.55237234904276,松山區,精忠里
554727032,"(25.08501094289797, 121.55642162012826)",25.08501094289797,121.55642162012826,中山區,北安里
555427050,"(25.11666395355147, 121.51453632155827)",25.11666395355147,121.51453632155827,北投區,永明里
553626929,"(25.035270497585326, 121.53220802539575)",25.035270497585326,121.53220802539575,中正區,三愛里
553426903,"(25.026226780255758, 121.52730550941273)",25.026226780255758,121.52730550941273,大安區,錦安里
553926963,"(25.048836073579686, 121.53562587295526)",25.048836073579686,121.53562587295526,中山區,朱園里
553426898,"(25.026226780255758, 121.5047197295868)",25.026226780255758,121.5047197295868,萬華區,新和里
554226991,"(25.062401649574042, 121.5343615883828)",25.062401649574042,121.5343615883828,中山區,松江里
553326893,"(25.02170492159097, 121.54213869479555)",25.02170492159097,121.54213869479555,大安區,龍淵里
553626939,"(25.035270497585326, 121.57733779313202)",25.035270497585326,121.57733779313202,信義區,松友里
555327048,"(25.112142094886682, 121.51562919014498)",25.112142094886682,121.51562919014498,北投區,榮光里
554026983,"(25.05335793224447, 121.5807800935015)",25.05335793224447,121.5807800935015,內湖區,行善里
554026984,"(25.05335793224447, 121.58528583886788)",25.05335793224447,121.58528583886788,南港區,玉成里
554026968,"(25.05335793224447, 121.51319391300592)",25.05335793224447,121.51319391300592,大同區,建功里
553126868,"(25.0126612042614, 121.55669235325078)",25.0126612042614,121.55669235325078,大安區,黎元里
553426900,"(25.026226780255758, 121.51375404151717)",25.026226780255758,121.51375404151717,中正區,永功里
553826946,"(25.0443142149149, 121.50645084666009)",25.0443142149149,121.50645084666009,萬華區,萬壽里
555227048,"(25.107620236221898, 121.52819311706929)",25.107620236221898,121.52819311706929,士林區,忠誠里
