state_code,center,center_lat,center_lon,dist,vil
554427004,"(25.071445366903614, 121.52043639695228)",25.071445366903614,121.52043639695228,中山區,圓山里
555227047,"(25.107620236221898, 121.52370014359138)",25.107620236221898,121.52370014359138,士林區,蘭興里
553526925,"(25.030748638920542, 121.56915060517126)",25.030748638920542,121.56915060517126,信義區,三犁里
552826823,"(24.999095628267042, 121.56326372351407)",24.999095628267042,121.56326372351407,文山區,萬美里
553326887,"(25.02170492159097, 121.51502237181161)",25.02170492159097,121.51502237181161,永和區,網溪里
553726949,"(25.039792356250114, 121.5699584702651)",25.039792356250114,121.5699584702651,信義區,興雅里
554226997,"(25.062401649574042, 121.56137772937275)",25.062401649574042,121.56137772937275,松山區,三民里
553726948,"(25.039792356250114, 121.56544744191689)",25.039792356250114,121.56544744191689,信義區,興雅里
555527050,"(25.121185812216254, 121.50694437360829)",25.121185812216254,121.50694437360829,北投區,東華里
552826821,"(24.999095628267042, 121.55419978601721)",24.999095628267042,121.55419978601721,文山區,興得里
553626925,"(25.035270497585326, 121.51415611830124)",25.035270497585326,121.51415611830124,中正區,建國里
553726951,"(25.039792356250114, 121.57898052696153)",25.039792356250114,121.57898052696153,信義區,松光里
552926843,"(25.00361748693183, 121.58123098878265)",25.00361748693183,121.58123098878265,文山區,博嘉里
553526919,"(25.030748638920542, 121.54206048971821)",25.030748638920542,121.54206048971821,大安區,龍圖里
555127043,"(25.10309837755711, 121.5207774650123)",25.10309837755711,121.5207774650123,士林區,德華里
554026973,"(25.05335793224447, 121.53572263983779)",25.05335793224447,121.53572263983779,中山區,中央里
554026975,"(25.05335793224447, 121.54473413057052)",25.05335793224447,121.54473413057052,松山區,中正里
554026968,"(25.05335793224447, 121.51319391300592)",25.05335793224447,121.51319391300592,大同區,建功里
553626930,"(25.035270497585326, 121.53672100216937)",25.035270497585326,121.53672100216937,大安區,民炤里
553626926,"(25.035270497585326, 121.51866909507487)",25.035270497585326,121.51866909507487,中正區,東門里
553526931,"(25.030748638920542, 121.59624072062431)",25.030748638920542,121.59624072062431,南港區,九如里
553826945,"(25.0443142149149, 121.50194167289553)",25.0443142149149,121.50194167289553,萬華區,菜園里
553226887,"(25.017183062926186, 121.57756016871839)",25.017183062926186,121.57756016871839,信義區,六合里
553526929,"(25.030748638920542, 121.58721068213995)",25.030748638920542,121.58721068213995,信義區,中行里
553926958,"(25.048836073579686, 121.51308880879947)",25.048836073579686,121.51308880879947,中正區,光復里
553926957,"(25.048836073579686, 121.5085813959683)",25.048836073579686,121.5085813959683,大同區,玉泉里
555427049,"(25.11666395355147, 121.51004418513486)",25.11666395355147,121.51004418513486,北投區,吉利里
