state_code,center,center_lat,center_lon,dist,vil
553626928,"(25.035270497585326, 121.52769504862212)",25.035270497585326,121.52769504862212,中正區,文祥里
553726938,"(25.039792356250114, 121.52033715843471)",25.039792356250114,121.52033715843471,中正區,東門里
554226990,"(25.062401649574042, 121.5298588982178)",25.062401649574042,121.5298588982178,中山區,新生里
553526915,"(25.030748638920542, 121.52400041274952)",25.030748638920542,121.52400041274952,大安區,錦泰里
554427025,"(25.071445366903614, 121.61493654190353)",25.071445366903614,121.61493654190353,內湖區,安湖里
554026974,"(25.05335793224447, 121.54022838520414)",25.05335793224447,121.54022838520414,中山區,復華里
553226879,"(25.017183062926186, 121.54138646415866)",25.017183062926186,121.54138646415866,大安區,學府里
554627031,"(25.080489084233182, 121.57942821643364)",25.080489084233182,121.57942821643364,內湖區,港富里
553926965,"(25.048836073579686, 121.54464069861758)",25.048836073579686,121.54464069861758,松山區,中正里
554727031,"(25.08501094289797, 121.5519249431054)",25.08501094289797,121.5519249431054,中山區,成功里
553626937,"(25.035270497585326, 121.56831183958477)",25.035270497585326,121.56831183958477,信義區,安康里
553526910,"(25.030748638920542, 121.50142531653863)",25.030748638920542,121.50142531653863,萬華區,頂碩里
555027045,"(25.098576518892326, 121.54730418820077)",25.098576518892326,121.54730418820077,士林區,臨溪里
555427054,"(25.11666395355147, 121.53250486725192)",25.11666395355147,121.53250486725192,士林區,天福里
553626941,"(25.035270497585326, 121.58636374667927)",25.035270497585326,121.58636374667927,信義區,中行里
553826950,"(25.0443142149149, 121.52448754171832)",25.0443142149149,121.52448754171832,中正區,幸福里
554126979,"(25.057879790909254, 121.52028684582716)",25.057879790909254,121.52028684582716,大同區,雙連里
552926843,"(25.00361748693183, 121.58123098878265)",25.00361748693183,121.58123098878265,文山區,博嘉里
552826822,"(24.999095628267042, 121.55873175476565)",24.999095628267042,121.55873175476565,文山區,興光里
553726939,"(25.039792356250114, 121.52484818678293)",25.039792356250114,121.52484818678293,中正區,東門里
554627025,"(25.080489084233182, 121.55244204958021)",25.080489084233182,121.55244204958021,中山區,成功里
553926970,"(25.048836073579686, 121.56717776277338)",25.048836073579686,121.56717776277338,松山區,新聚里
553726953,"(25.039792356250114, 121.58800258365797)",25.039792356250114,121.58800258365797,南港區,百福里
554727041,"(25.08501094289797, 121.59689171333389)",25.08501094289797,121.59689171333389,內湖區,金龍里
553826956,"(25.0443142149149, 121.55154258430566)",25.0443142149149,121.55154258430566,大安區,建安里
554327013,"(25.066923508238826, 121.59592465449546)",25.066923508238826,121.59592465449546,內湖區,寶湖里
553326886,"(25.02170492159097, 121.51050298464762)",25.02170492159097,121.51050298464762,萬華區,騰雲里
554827026,"(25.089532801562754, 121.50443967035812)",25.089532801562754,121.50443967035812,士林區,永倫里
553126864,"(25.0126612042614, 121.53859581755236)",25.0126612042614,121.53859581755236,大安區,學府里
553926979,"(25.048836073579686, 121.6077444782538)",25.048836073579686,121.6077444782538,南港區,中南里
554227000,"(25.062401649574042, 121.57488579986772)",25.062401649574042,121.57488579986772,內湖區,湖元里
554727029,"(25.08501094289797, 121.5429315890597)",25.08501094289797,121.5429315890597,中山區,劍潭里
554226986,"(25.062401649574042, 121.51184813755783)",25.062401649574042,121.51184813755783,大同區,南芳里
