state_code,center,center_lat,center_lon,dist,vil
554827046,"(25.089532801562754, 121.59435470905744)",25.089532801562754,121.59435470905744,內湖區,碧山里
553726941,"(25.039792356250114, 121.53387024347937)",25.039792356250114,121.53387024347937,大安區,民輝里
553626941,"(25.035270497585326, 121.58636374667927)",25.035270497585326,121.58636374667927,信義區,中行里
554827031,"(25.089532801562754, 121.52691843003295)",25.089532801562754,121.52691843003295,士林區,仁勇里
554126987,"(25.057879790909254, 121.55632021541393)",25.057879790909254,121.55632021541393,松山區,介壽里
554827033,"(25.089532801562754, 121.53590993390289)",25.089532801562754,121.53590993390289,中山區,劍潭里
553726939,"(25.039792356250114, 121.52484818678293)",25.039792356250114,121.52484818678293,中正區,東門里
553526911,"(25.030748638920542, 121.5059403357808)",25.030748638920542,121.5059403357808,中正區,廈安里
554727041,"(25.08501094289797, 121.59689171333389)",25.08501094289797,121.59689171333389,內湖區,金龍里
554927029,"(25.094054660227542, 121.49541627599467)",25.094054660227542,121.49541627599467,士林區,福安里
555427049,"(25.11666395355147, 121.51004418513486)",25.11666395355147,121.51004418513486,北投區,吉利里
553626930,"(25.035270497585326, 121.53672100216937)",25.035270497585326,121.53672100216937,大安區,民炤里
555727056,"(25.130229529545826, 121.52616486249153)",25.130229529545826,121.52616486249153,北投區,永和里
553726945,"(25.039792356250114, 121.55191435687223)",25.039792356250114,121.55191435687223,大安區,建倫里
554126982,"(25.057879790909254, 121.5337993594222)",25.057879790909254,121.5337993594222,中山區,中央里
553626925,"(25.035270497585326, 121.51415611830124)",25.035270497585326,121.51415611830124,中正區,建國里
554627027,"(25.080489084233182, 121.56143743853136)",25.080489084233182,121.56143743853136,中山區,金泰里
553426896,"(25.026226780255758, 121.49568541765642)",25.026226780255758,121.49568541765642,萬華區,忠德里
553526917,"(25.030748638920542, 121.53303045123386)",25.030748638920542,121.53303045123386,大安區,福住里
555527055,"(25.121185812216254, 121.52940365243376)",25.121185812216254,121.52940365243376,士林區,天玉里
553826964,"(25.0443142149149, 121.58761597442214)",25.0443142149149,121.58761597442214,南港區,成福里
554627028,"(25.080489084233182, 121.56593513300693)",25.080489084233182,121.56593513300693,內湖區,西湖里
554427014,"(25.071445366903614, 121.56543646597667)",25.071445366903614,121.56543646597667,松山區,莊敬里
554126977,"(25.057879790909254, 121.51127850343046)",25.057879790909254,121.51127850343046,大同區,大有里
553726931,"(25.039792356250114, 121.4887599599972)",25.039792356250114,121.4887599599972,萬華區,柳鄉里
555627050,"(25.125707670881038, 121.50183758788904)",25.125707670881038,121.50183758788904,北投區,清江里
553826951,"(25.0443142149149, 121.52899671548288)",25.0443142149149,121.52899671548288,中正區,梅花里
555127044,"(25.10309837755711, 121.525270994972)",25.10309837755711,121.525270994972,士林區,德行里
