state_code,unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,mrt,night_club,park,ubike,restaurant,job
552826828,410000.0,,2.0,2.0,,,2.0,,,,,20.0,
552826829,567000.0,,,,,,,,,,,6.0,
552826830,364500.0,,,,,,1.0,,,,,,
552826831,363000.0,,,,,,2.0,,,,,,
552826832,421000.0,,,,,,,,,,,1.0,
552826834,296000.0,,,,,,,,,,,,
552926825,447000.0,,,,,,,,,,,,
552926827,496500.0,,,,1.0,,,,,,,4.0,
552926828,447000.0,,1.0,,,,2.0,,,,,14.0,
552926829,527000.0,,2.0,2.0,3.0,,,,,,,6.0,
552926830,496000.0,,1.0,,1.0,,1.0,,,,,3.0,
552926831,440000.0,,1.0,,,,,,,,,2.0,
552926832,445000.0,1.0,,1.0,1.0,,1.0,,,,,4.0,
552926833,423000.0,,,2.0,,,,,,,,6.0,
552926834,422000.0,1.0,2.0,,,,,,,,,4.0,
552926835,456000.0,,,3.0,,,1.0,,,,,4.0,
552926836,417000.0,,,,,,1.0,,,,,6.0,
552926837,445000.0,,1.0,,,,,,,,,3.0,
552926838,372000.0,,,1.0,,,1.0,,,,,,
552926839,382000.0,,,,,,2.0,,,,,3.0,
552926840,431500.0,,1.0,1.0,,,,,,,,1.0,
552926841,432000.0,,,,1.0,,,,,,,2.0,
552926842,431000.0,,,1.0,,,,,,,,,
552926843,287000.0,,,,,,,1.0,,,1.0,,
552926844,584000.0,,,,,,,,,,,,
552926845,362000.0,,1.0,,1.0,,,,,,,,
553026841,460000.0,,,,,,,,,,,1.0,
553026842,465000.0,,,,,,,,,,,,
553026844,460500.0,,,,,,,,,,,,
553026845,336000.0,,,,,,,,,,,,
553026846,459500.0,,,,,,1.0,,,,,2.0,
553026847,266000.0,,,,,,1.0,,1.0,,,3.0,
553026848,524000.0,,2.0,2.0,,,1.0,,,,,,
553026849,415500.0,,,,,,,,,,,,
553026850,458000.0,,,,,,,,,,,,
553026851,395500.0,,,,,,,,,,,,
553026852,436000.0,,,,,,,,,,,1.0,
553026853,405000.0,,,,,,,,,,,1.0,
553026854,465000.0,,,,,,,,,,,,
553026855,412000.0,,,,,,,,,,,2.0,
553026856,474000.0,,,,,,1.0,,,,,,
553126859,592000.0,,,1.0,,,1.0,,,,,,
553126862,633000.0,,,,,,,,,,,19.0,
553126863,503000.0,,1.0,,,,1.0,,,,,34.0,2.0
553126864,954500.0,2.0,1.0,1.0,,,,,,1.0,1.0,58.0,
553126865,859500.0,,,1.0,,,,,,,,48.0,1.0
553126867,685500.0,1.0,,,,,1.0,,,1.0,,50.0,
553126868,598000.0,,1.0,,,,3.0,,,,,43.0,
553126870,618500.0,1.0,,,,,2.0,,,,,13.0,3.0
553226868,174000.0,,,,,,,,,,,,
553226870,352500.0,,,,,,,,,,,6.0,
553226871,463500.0,1.0,,,,,,,,,,35.0,
553226872,402000.0,1.0,1.0,2.0,,,1.0,,,,,64.0,2.0
553226873,670500.0,2.0,1.0,,1.0,,8.0,,,,,86.0,1.0
553226874,375000.0,,1.0,,,2.0,,,,,,28.0,
553226875,328500.0,,1.0,,1.0,,1.0,,1.0,,,18.0,1.0
553226876,574000.0,,,,,,,,,,,34.0,
553226877,742000.0,,,1.0,,1.0,,,,,,56.0,
553226878,649000.0,,1.0,,,1.0,2.0,,,,,27.0,2.0
553226879,635500.0,,1.0,,1.0,,,,,,1.0,18.0,
553226880,844500.0,,,,,1.0,,,,,,27.0,
